ID,Usuario,JuegoFavorito,CalificacionUsers,Descargas,Resenas,TiempoJuegoHoras,AccesoAnticipado,CompatibleConsola,Popularidad,Edad,PaísUser,UserOnline,TotalUsers,SoporteSteamDeck
3613,NimbusFluffy8,A Pigeon Detective Game: Twin Beaks,2.561226032083453,21126,Muy Negativo,805,True,True,72,38,Canada,3200,298010,True
5152,BlitzEcho100,Hentai Forever,3.5967406228515553,96466,Muy positivo,449,False,False,100,30,USA,3679,169847,False
1253,FrostDrift22,Phonk Cats,3.778049006458357,34246,Mixto,480,False,False,67,11,USA,8217,321903,False
8013,ChromaTurbo56,Inu's Adventure,2.0044546876813314,75580,Mixto,735,True,True,1,27,UK,4920,353566,True
9133,NovaChroma100,Karolina,4.543583942416468,39363,Muy positivo,281,True,False,8,31,Canada,2785,389506,True
3588,ShadowChroma57,Typing Bullets,3.2410320212110126,44648,Muy positivo,518,False,True,86,28,UK,9665,18575,True
9277,CipherSpark5,Megabat,2.0199618984204717,61826,Mayormente Positivo,303,True,False,59,34,Germany,3125,254991,False
1814,ShadowSolar48,Breached,3.8298852054644454,89578,Muy positivo,342,True,True,24,49,UK,9724,99471,True
767,LunarBlaze40,ANYU,1.718341044030622,45526,Muy positivo,458,False,True,43,34,Canada,7145,230910,False
2283,VortexFrost65,Woodcutter,1.8966566932729787,24396,Mayormente Positivo,200,False,True,97,37,Germany,1132,486569,True
2341,FluffyQuantum41,Yuhha: Stolen Treasure WALLPAPER PACK,3.9574743180551812,1415,Mayormente Negativo,112,False,False,38,21,Germany,3871,334305,False
2345,NovaShadow45,DNF Duel - Season Pass,3.1797948995709127,22264,Mayormente Negativo,413,True,False,51,27,USA,7547,69546,False
8413,CobraPhantom49,Incubus Quest,2.037332097179641,99542,Mayormente Positivo,489,False,True,86,32,UK,7195,196804,True
4895,CipherNebula68,Incubus Quest,3.027327339709898,23057,Mayormente Positivo,115,True,False,45,46,Mexico,7024,314219,True
2560,DriftFluffy9,The Paper Arcade: Kingdom Kitty,1.885202063192787,61907,Mixto,534,False,True,75,31,USA,5161,98273,True
7909,DriftCipher12,[NEW] Closers Gold Package,4.509996020536915,10015,Mayormente Positivo,274,False,False,39,30,UK,7977,152124,False
2300,EchoPulse14,WILD WEST,1.3097983979316998,2846,Mayormente Positivo,390,True,False,65,17,Mexico,7846,264461,False
6901,PulseNimbus75,Rune Factory 5 - The Resplendent Butterfly and the Priest Swimsuit Set + New Ranger Care Package Item Pack,2.6598338329533027,52989,Muy Negativo,529,True,False,8,18,Germany,2919,206409,False
8570,BlazeVortex17,[NEW] Closers Free Package,1.418141729898926,38218,Muy Negativo,163,True,False,43,40,Mexico,2080,57930,True
1243,StellarCipher54,(the) Gnorp Apologue,1.9292593364142085,70289,Mayormente Positivo,62,True,False,6,24,Germany,3385,173794,False
9177,CosmoAero98,Tales of Finariel : Card based RPG,1.2317110301006235,96299,Mayormente Negativo,901,False,False,13,39,USA,4487,273397,True
6282,LunarStellar92,The Immaculate Drag Soundtrack,3.7117609605439266,97006,Mayormente Positivo,660,True,False,39,41,USA,3797,58433,False
3633,CobraChroma73,Reds Adventure A Seasons New Beginning,2.5514305781365927,93400,Muy Negativo,233,True,False,80,20,Germany,4895,262819,False
6032,RocketVortex1,Survival Quiz CITY: The Legendary Soundtrack to Lammy's Adventures,3.2031256504030927,62981,Muy Negativo,959,False,True,56,24,UK,2512,212059,False
1509,TurboThunder80,翔太の毕业季,1.6945894523559577,50346,Mayormente Negativo,601,True,True,43,46,UK,961,203706,True
960,EchoCosmo4,Ready for Riot,2.503239581435862,49233,Mayormente Negativo,966,False,False,9,40,UK,451,16652,False
1168,NovaThunder73,Gotchaball,2.3145905367510498,75295,Muy Negativo,596,True,False,90,46,Canada,2668,371930,True
3350,CipherPulse29,TinyAttack,1.226919285385025,16445,Mayormente Negativo,716,True,True,95,36,USA,4176,21318,True
9271,FluffyBlaze48,DreamCowork Beta,3.7975934397374655,22252,Muy positivo,444,False,False,98,34,UK,2452,154212,False
2472,FrostChroma71,Effugium,3.5498150729407887,64067,Mayormente Negativo,22,True,False,68,48,USA,5478,312548,True
3283,InfernoNova27,怪才俱乐部2-The Immortal Beloved2,1.4499716062416694,59603,Mayormente Negativo,52,False,False,50,42,Germany,3257,495200,False
8514,RavenTurbo1,神经联结(Neural Nexus),3.48481008755609,64431,Mayormente Positivo,503,True,False,3,21,Germany,5094,355529,True
6648,CosmoVortex11,Roll the Dark Heart,3.1247697430579806,85613,Mayormente Negativo,433,False,True,71,36,Mexico,6978,38833,False
3710,EchoRocket74,Ninjas Against the Machines,2.5372959414471987,48410,Mayormente Positivo,972,False,False,89,40,Canada,6366,62323,False
6334,AeroDrift88,NecroFarm,2.282719005188335,98612,Muy Negativo,959,True,False,100,34,Germany,5137,46427,True
