ID,Usuario,JuegoFavorito,CalificacionUsers,Descargas,Resenas,TiempoJuegoHoras,AccesoAnticipado,CompatibleConsola,Popularidad,Edad,PaísUser,UserOnline,TotalUsers,SoporteSteamDeck
9308,CipherVortex85,Hell Loop,1.2399930481462622,17405,Muy positivo,820,False,True,87,25,Mexico,908,494903,True
9330,ShadowAero72,Throne and Liberty Playtest,4.556947351310136,74574,Muy positivo,429,False,False,44,34,UK,2640,306445,False
9044,NimbusVortex50,Neptunia Virtual Stars - INSIDEChan Sisters Pack,1.6969413820938573,70651,Mixto,967,True,True,76,41,Mexico,5211,67888,True
7399,NovaInferno86,CATASS,3.817066132341963,78771,Muy Negativo,663,True,True,35,10,Mexico,9621,20873,True
851,CosmoCipher93,Neptunia Virtual Stars - Bikini Outfit: V-Idol Set,1.1154988795951009,60791,Muy Negativo,184,False,False,23,36,Mexico,8451,362398,False
3685,QuantumCosmo72,Throne and Liberty Playtest,3.7019672050161367,71638,Muy positivo,401,True,False,35,45,Mexico,8952,162431,True
7938,ThunderRaven47,Doughbee,1.7303541763292016,85773,Mayormente Negativo,591,False,True,91,34,Germany,1401,69376,False
1984,NebulaBlaze85,DreamCowork Beta,4.171559673011121,51450,Muy Negativo,813,True,False,61,41,Canada,3564,349277,True
8634,NebulaPulse9,The Struggle to Survive the Dragon Siege,4.257431279707141,51218,Mayormente Positivo,215,False,True,68,40,UK,4496,18669,True
2965,CipherNebula77,"KOF XV DLC Character ""NAJD""",1.0999597281233986,14315,Muy Negativo,414,False,True,32,32,USA,6583,385439,False
6292,RocketInferno27,Plague Inc: The Cure,3.9043267301151614,43889,Muy positivo,749,False,False,28,31,Mexico,5368,479357,False
9333,CobraRocket64,DIVE,3.9851209879240237,54009,Mayormente Positivo,463,True,False,74,32,Canada,7625,452785,False
694,RavenComet46,Elrit Clover -A forest in the rut is full of dangers-,4.220136276251586,74363,Mayormente Positivo,826,False,False,46,38,UK,2014,20793,True
1971,PixelShadow26,Neptunia Virtual Stars - Bikini Outfit: V-Idol Set,1.4499446653912158,17087,Muy Negativo,61,False,False,13,48,Mexico,7857,322119,False
