AppID,Nombre,Tipo,Desarrollador,Editor,FechaSalida,Genero,Categoria,Gratis,Plataforma,Popularidad,TamanoGB,SoporteMods,FrecuenciaActualizaciones,ComprasEnLaApp
1874990,Fluids & Sounds: Mind relaxing and meditative,game,"Marvin Krüger, MK Arts and Visuals",MK Arts & Visuals,"3 Feb, 2022",Indie,Single-player,No,windows,5671,31,Si,Mensual,No
1874980,Ready for Riot,game,Baked Games,"Baked Games, PlayWay S.A.",To be announced,Adventure,Online Multi-Player,No,linux,2198,87,No,Semanal,No
1875030,Interstate Drifter 1999 Soundtrack,music,"Ultimo Games, Runesound",Ultimo Games,"31 Jan, 2022",Casual,Multi-player,No,mac,2072,93,Si,Anual,No
1875080,Supraland Six Inches Under Demo,demo,Supra Games,Supra Games,"14 Jan, 2022",Strategy,Co-op,Si,windows,8551,90,Si,Mensual,Si
1875090,与我签订契约，成为救世勇者吧！ Demo,demo,NightLightGameStudio,NightLightGameStudio,"14 Jan, 2022",Action,Online Multi-Player,Si,mac,4936,51,No,Mensual,Si
1875100,Crackin' Smackin,game,Lifelight Entertainment GmbH,Lifelight Entertainment GmbH,"7 Jun, 2024",Indie,Co-op,Si,linux,8960,42,Si,Semanal,Si
1875120,Marsmare: Alienation,game,Drunk Fly Oy,Drunk Fly Oy,"27 May, 2024",Casual,Online Multi-Player,No,linux,4455,53,No,Semanal,Si
1875160,The Blunderbuss,game,DoGame,,"13 Oct, 2022",Casual,Multi-player,No,mac,9252,1,Si,Mensual,Si
1875140,黎明为歌 - Melody before the Dawn,game,Rolling Cat Studio,Eternal Dream,"11 Mar, 2022",RPG,Multi-player,No,mac,9292,52,Si,Anual,Si
1875170,Sniper Elite 5 Season Pass One,dlc,Rebellion,Rebellion,"25 May, 2022",Adventure,Co-op,No,linux,9009,78,Si,Diario,Si
1875190,Gekko Episode of Minato - Gallary Mode,dlc,あいあんそぉど,あいあんそぉど,"25 Jan, 2022",Indie,Single-player,No,mac,4395,57,Si,Diario,No
1875180,Wonderbirds,game,"Maxim Nuriev, Alexander Foxly",Maxim Nuriev,Coming soon,Indie,Online Multi-Player,No,windows,6911,46,Si,Diario,No
1875230,A Pigeon Detective Game: Twin Beaks,game,Alex Taylor,Alex Taylor,To be announced,Strategy,Co-op,No,mac,4107,93,No,Mensual,Si
1875240,WeeRPG Demo,demo,Narfox LLC,Narfox LLC,"5 Feb, 2022",Adventure,Multi-player,Si,windows,6680,42,No,Semanal,Si
1875270,The Star Legation Soundtrack,music,"Corefun Studios, LLC","Corefun Studios, LLC","3 Feb, 2022",Strategy,Multi-player,No,linux,4021,62,Si,Mensual,No
1875310,Pro Basketball Manager 2023,game,Umix Studios,Umix Studios,"10 Nov, 2022",Strategy,Co-op,No,mac,6383,87,No,Mensual,Si
1875330,Everblade Soundtrack,music,Elion Games,,"6 May, 2022",Action,Online Multi-Player,No,mac,4541,35,No,Semanal,Si
1874570,RPG Maker MV - POP FANTASY BigMonster and NPC Face Set,dlc,"yota, Gotcha Gotcha Games",Gotcha Gotcha Games,"19 Jan, 2022",Indie,Co-op,No,linux,9214,54,Si,Mensual,No
1874560,Infinadeck Medieval Maze,game,Infinadeck Studios,Infinadeck Studios,"23 Feb, 2022",Indie,Co-op,Si,windows,2547,41,No,Mensual,No
1874571,RPG Maker MV - City Exterior Tileset,dlc,"仲南わたる, Gotcha Gotcha Games",Gotcha Gotcha Games,"26 Jan, 2022",Casual,Co-op,No,linux,4876,5,Si,Diario,No
1874530,Peep Invasion,game,Poema Games,Poema Games,"4 May, 2022",Adventure,Co-op,No,mac,9557,66,Si,Mensual,No
1874572,RPG Maker MV - Otani Pixel Fantasy Enemy Pack Vol.3,dlc,"大谷幸夢店, Gotcha Gotcha Games",Gotcha Gotcha Games,"2 Feb, 2022",Strategy,Local Multi-Player,No,mac,6688,88,No,Anual,Si
1874580,RPG Maker MZ - POP FANTASY BigMonster and NPC Face Set,dlc,"yota, Gotcha Gotcha Games",Gotcha Gotcha Games,"19 Jan, 2022",Action,Single-player,No,windows,5628,2,Si,Semanal,No
1874590,RPG Maker MZ - City Exterior Tileset,dlc,"仲南わたる, Gotcha Gotcha Games",Gotcha Gotcha Games,"26 Jan, 2022",Adventure,Online Multi-Player,No,mac,8600,86,No,Diario,Si
1874610,Fantasy Grounds - FG Desert Map Pack,dlc,"SmiteWorks USA, LLC",,"19 Jan, 2022",RPG,Multi-player,No,linux,3232,60,Si,Anual,No
1874630,Room Box,game,WexStudio,WexStudio,To be announced,Indie,Local Multi-Player,No,mac,5903,68,No,Semanal,Si
1874620,DIVE,game,Trey Hayden,Trey Hayden,Coming soon,Strategy,Online Multi-Player,Si,mac,2519,68,No,Semanal,No
1874650,RPG Sounds - Adventurer's Guild - Sound Pack,dlc,Cast n Play,,"30 Jan, 2022",Adventure,Local Multi-Player,No,windows,8222,71,No,Diario,No
1874600,RPG Maker MZ - Otani Pixel Fantasy Enemy Pack Vol.3,dlc,"大谷幸夢店, Gotcha Gotcha Games",Gotcha Gotcha Games,"2 Feb, 2022",Strategy,Multi-player,No,mac,2980,25,Si,Diario,No
1874640,Fantasy Grounds - FG Desert Ruins Map Pack,dlc,"SmiteWorks USA, LLC",,"18 Jan, 2022",Casual,Single-player,No,mac,2386,79,Si,Mensual,Si
1874651,RPG Sounds - Verdant Hideout - Sound Pack,dlc,Cast n Play,,"30 Jan, 2022",RPG,Single-player,No,linux,6347,20,No,Mensual,Si
1874670,Shirone: the Dragon Girl Demo,demo,Oimoland,Flyhigh Works,"9 Feb, 2022",Strategy,Single-player,Si,mac,1579,3,Si,Anual,Si
1874660,浮生箓 Floating Life,game,心流工作室（Heart Stream Studio）,心流工作室（Heart Stream Studio）,"17 Feb, 2022",Casual,Online Multi-Player,No,windows,7993,69,No,Anual,No
1874680,Tower Words,game,Company Not Found,Company Not Found,"7 Apr, 2022",Adventure,Online Multi-Player,No,windows,6272,92,No,Diario,No
1874690,Volleyhalla,game,"""Wizards Age Studios""","""Wizards Age Studios""",2025,RPG,Online Multi-Player,No,windows,9035,1,No,Semanal,Si
1874720,Elf World Adventure: Part 1,game,"White Panda Studio, 430Games",430Games,"15 Mar, 2022",Strategy,Online Multi-Player,No,mac,5921,31,No,Diario,No
1874770,Secret Series : BJ,game,Momentum Games,Momentum Games,"31 Jan, 2022",Indie,Multi-player,No,linux,524,92,No,Diario,No
1874802,Rune Factory 5 - The Marionette and the Glorious Horse Swimsuit Set + New Ranger Care Package Item Pack,dlc,Marvelous Inc.,"XSEED Games, Marvelous USA, Inc.","13 Jul, 2022",Casual,Online Multi-Player,No,linux,4640,65,Si,Semanal,No
