AppID,Nombre,Tipo,Descripcion,Desarrollador,Editor,FechaSalida,Genero,Categoria,Lenguajes,Gratis,EdadRequerida,Moneda,PrecioInicial,Plataforma
2430580,Astrosmash,game,ASTROSMASH® was originally a Shoot´em up game for the Intellivision® console in 1981. This reimagined version is based on the game’s original theme and gameplay but much more exciting and challenging. The new graphics are phenomenal and the amazing background music adds a lot of excitement.,BBG Entertainment GmbH,BBG Entertainment GmbH,"11 Oct, 2023",Action,Multi-player,English,No,0,USD,14.99,linux
2430620,Castle of Terror,game,"In this classic graphical text adventure, originally released in 1985 for the Commodore 64 by the same studio that brought you The Hobbit, explore an adventure in the world of Count Dracula.","Beam Software, Melbourne House",Pixel Games UK,"15 Jun, 2023",Adventure,Online Multi-Player,English,No,0,USD,2.99,mac
2430630,Sensual Adventures - Episode 8,game,"Episode 8 contains 5 new positions, including kissing and petting, frotting, rimming from behind, standing doggy style, and an anal + handjob scene. The episode's double cumshot at the end is also sure to leave you satisfied.",Puppetmaster3dx,Puppetmaster3dx,"30 Jul, 2023",Strategy,Online Multi-Player,English,No,0,USD,17.99,windows
2430650,Hunt: Showdown 1896 - The Son of Gunpowder,dlc,"This DLC contains one Hunter, two Weapons, and one Consumable: - The Conspirator (Hunter) - Crown Cinders (Martini-Henry) - Royal Sabotage (Scottfield) - Forefather's Fury (Vitality Shot)",Crytek,,"14 Mar, 2024",Adventure,Multi-player,English,No,18,USD,9.99,mac
2430680,Hope is Gone,game,"A retro-style first-person horror game set in a dark, decaying parallel dimension where people from our world are not welcome.",Helemon,Helemon,"15 Feb, 2024",Casual,Local Multi-Player,English,No,0,USD,3.99,linux
2430690,Clover Day's Plus,game,Bottled-up emotions... An everlasting oath... Heartfelt desires... An enduring regret... And a childhood promise. Yuuto was abandoned by his parents and raised in an orphanage in Britain before a trading merchant by the name of Takakura Yoshiomi adopted him and brought him to Japan.,ALcot,"HIKARI FIELD, NekoNyan Ltd.","18 Aug, 2023",Action,Single-player,English,No,0,USD,34.99,mac
2430710,Operator: Observation,game,"Operator: Observation is a Game based on the &quot;Watch Rooms, and Report Anomalies&quot; Concept of &quot;Observation Duty&quot; but now the Anomalies are way more aggressive and have way more ways to make you lose your Mind. Your Instructor will follow you on the way to becoming a good Operator.",Stronggaming Studios,Stronggaming Studios,To be announced,Adventure,Co-op,English,No,0,To be announced,To be announced,linux
2430730,My Child Lebensborn Remastered,game,"My Child Lebensborn is a story-driven nurture game based on real events. Play as the adoptive parent of Karin or Klaus, and experience the struggles they go through alongside them. Balance your time and resources wisely, while helping your child cope with the effects of hatred.",Sarepta Studio AS,"Sarepta Studio AS, Teknopilot","18 Jul, 2023",RPG,Single-player,English,No,0,USD,7.99,windows
2430760,Family Arcade,game,"With our Holiday Games Bundle, you'll get access to an insane variety of fun and festive games that are perfect for getting everyone into the Christmas spirit. 🎄",Family Nights,Family Nights,"1 Dec, 2023",Adventure,Single-player,English,Si,0,,0.00,windows
2430790,Phonk Cats,game,"Play the dynamic rhythm game to the best phonk tracks! Play solo or versus your friend, customize your cats, choose different game modes - Phonk Cats are waiting for you!",Soulwarmers Games,Soulwarmers Games,"26 May, 2023",RPG,Multi-player,English,No,0,USD,1.99,linux
