ID,Usuario,JuegoFavorito,CalificacionUsers,Descargas,Resenas,TiempoJuegoHoras,AccesoAnticipado,CompatibleConsola,Popularidad,Edad,PaísUser,UserOnline,TotalUsers,SoporteSteamDeck
7232,TurboCipher70,Slashers,1.8355322331453783,96073,Muy Negativo,304,True,True,66,42,USA,1237,195668,True
3213,BlitzChroma69,Rune Factory 5 - Rune Factory Outfits: Raguna and Mist,4.74294991120001,37512,Mixto,685,True,False,10,29,Germany,2939,247422,True
5574,NebulaAero2,Their Land,2.598157380235771,85529,Muy positivo,359,False,True,77,20,USA,2964,331319,False
6510,CobraSpark61,Neptunia Virtual Stars - Akatsuki UNI Pack,1.635184761434298,37606,Muy Negativo,558,True,True,100,48,UK,8697,132385,True
2583,CometNebula10,Neptunia Virtual Stars - Maoh Magrona Pack,3.5583463179793484,80362,Mixto,935,False,False,45,22,Canada,601,145144,False
4822,FluffyPixel45,Zoo Tales,2.6770903507887507,6022,Mayormente Positivo,887,True,True,85,20,Germany,6332,230989,True
5016,SolarNebula16,Gunfire Reborn - Artisan and Magician,2.931360927676398,88538,Mayormente Negativo,263,False,True,42,33,Germany,5774,378541,False
8681,SolarCipher28,Animal Doctor - Digital Supporter Pack,4.071385446630454,72109,Muy Negativo,668,True,True,34,49,Mexico,2565,455667,True
6821,ThunderQuantum67,Thyrian Defenders Playtest,4.087905488617447,98299,Mayormente Negativo,826,True,True,38,11,UK,6663,96763,True
3015,TurboInferno71,Astrosmash,4.459290082922841,54104,Mayormente Positivo,240,False,False,57,28,Canada,9071,13126,False
1685,ShadowTurbo44,Mighty Marbles,1.6398805260754856,38057,Muy Negativo,832,False,True,55,42,Mexico,3752,400556,True
2600,CosmoInferno87,HANAMI,3.2829292408933504,36465,Muy Negativo,284,False,True,65,44,Germany,8342,464816,True
1302,StellarFluffy81,Stagehand Survival Simulator Demo,3.3154524096086795,84147,Mayormente Negativo,715,False,False,23,47,UK,1444,478549,True
8449,NebulaStellar67,[NEW] Closers Platinum Package,1.5713485985394269,4710,Mixto,365,True,True,13,22,Mexico,6579,211463,True
3870,SolarAero71,Survival Quiz CITY: The Legendary Soundtrack to Lammy's Adventures,1.1129345769929602,97801,Mayormente Negativo,935,False,False,69,20,USA,3956,336691,True
6545,ShadowThunder18,Camping Builder Demo,1.5833253186266845,99915,Mayormente Negativo,842,True,True,14,47,Germany,4202,345134,False
3961,LunarNimbus75,英雄之旅,2.7943264455561287,46307,Mayormente Positivo,493,False,False,89,31,UK,6461,59918,False
3211,StellarThunder50,Rise of the samurai in VR,2.595893654793201,43519,Mayormente Negativo,167,True,True,2,46,USA,1737,306888,True
4057,LunarDrift63,Habroxia 2,3.9665868328769704,53557,Mayormente Negativo,695,False,True,34,17,Germany,1089,160528,False
3612,ShadowChroma9,Infinadeck Medieval Maze,3.9256938668866117,90824,Muy Negativo,451,True,True,56,49,UK,4655,292406,False
8503,RavenChroma5,Bad Faith Demo,3.6622305943080145,98310,Mixto,569,False,True,70,34,Canada,816,230642,True
6587,ShadowBlitz83,Time Raiders,1.026170363450555,94945,Mayormente Positivo,147,True,True,8,40,UK,8600,398545,False
5446,AeroCobra93,Wrought Flesh Soundtrack,2.0244451010695634,63070,Muy positivo,636,False,False,89,23,UK,7736,212344,True
3160,BlazePixel2,Shogun Showdown Demo,4.9789788008957885,78056,Muy Negativo,454,True,True,29,13,Mexico,8167,75249,False
6909,PulseTurbo59,Crackin' Smackin,4.7303213260868455,73610,Mayormente Positivo,905,True,False,60,40,Germany,212,371768,True
7008,DriftChroma97,Shirone: the Dragon Girl Demo,4.322520819442561,28649,Mayormente Positivo,289,True,False,73,10,Mexico,1504,411050,True
386,FrostBlaze73,Nextbots In The Backrooms,1.8718774719954703,17206,Mayormente Negativo,770,True,False,68,44,UK,8420,196359,True
6790,InfernoBlitz54,KeyWe - The 100th Grand Ol' Telepost Tournament,1.9993717506567479,88170,Mixto,982,False,True,96,28,Mexico,9327,489270,False
598,CobraCipher57,Gunfire Reborn - Artisan and Magician,4.799782799982986,27053,Mayormente Positivo,813,False,True,62,49,UK,1900,349699,False
3517,RocketNebula79,Feeble Light,4.431341180664791,72052,Mayormente Negativo,712,False,False,41,15,Germany,1199,435247,True
6277,CosmoVortex22,Grandmasters Ascent,3.644524206474853,81283,Mixto,94,True,True,1,33,Germany,9146,292185,False
2519,PixelComet9,Interstate Drifter 1999 Soundtrack,3.6737867340320087,42190,Mayormente Positivo,837,False,False,20,26,UK,722,145097,False
3882,SparkFluffy32,Gate One,4.2746504700154695,18231,Muy positivo,607,True,True,99,32,Canada,6514,303255,True
5032,BlitzFluffy58,Infinadeck Medieval Maze,2.8527537196218367,63856,Mixto,671,False,True,34,29,Germany,1575,216479,False
5472,InfernoNebula79,Crystal Tales Tactics: Echoes of the Libertas War Demo,1.0081818067393842,78281,Mayormente Negativo,877,True,True,58,35,Mexico,2095,173549,True
7543,SolarFrost94,Brothers in Hell,2.4076660693686396,72713,Mixto,181,False,True,21,20,Mexico,5579,183480,False
9820,FluffyShadow79,RPG Sounds - Verdant Hideout - Sound Pack,2.8084604266677453,84897,Muy positivo,306,False,False,73,23,Canada,1599,350375,True
1170,ChromaEcho27,Rune Song,3.619377031684436,47714,Muy Negativo,203,False,False,42,34,UK,3216,114502,False
8604,PixelBlaze79,Rune Factory 5 - Rune Factory 2 Outfits: Kyle and Mana,2.39753035017542,49132,Muy Negativo,804,False,False,89,48,Germany,9446,214767,True
4564,NimbusPixel3,Oscar's Paradise,2.043662110094557,71143,Muy positivo,566,True,False,7,29,Canada,5926,137692,False
4726,EchoQuantum87,Ponk's Jam: The Tulip Thief,3.374030018614111,11802,Mayormente Positivo,258,False,True,85,22,Germany,7069,72852,True
