ID,Usuario,JuegoFavorito,CalificacionUsers,Descargas,Resenas,TiempoJuegoHoras,AccesoAnticipado,CompatibleConsola,Popularidad,Edad,PaísUser,UserOnline,TotalUsers,SoporteSteamDeck
9224,ChromaNimbus18,OPUS: Echo of Starsong Official Game Script -Vol.2-,1.1957198430894076,53194,Muy positivo,388,True,False,1,15,Canada,8051,454278,True
9284,BlitzFluffy94,Mori,1.6621897740714382,69044,Mayormente Negativo,962,True,True,64,15,Canada,2315,258713,True
541,PixelInferno84,Neptunia Virtual Stars - ReVdol! Pack,2.1455529372531896,52231,Mixto,409,True,False,17,45,UK,9889,284300,False
8148,PulseRaven50,Climate Expansion,2.878462617580203,51178,Mayormente Positivo,41,False,True,26,28,Canada,6344,126484,False
3250,QuantumAero94,黎明为歌 - Melody before the Dawn,4.218792933551724,96915,Muy Negativo,359,False,True,92,21,UK,2657,185140,True
7397,TurboPixel96,RPG Maker MV - POP FANTASY BigMonster and NPC Face Set,2.6679876776816704,84787,Mayormente Negativo,360,False,False,11,12,Germany,6022,94940,False
6395,NovaCipher61,Aircraft Sketch Shooter,2.9400501895937188,39799,Muy Negativo,188,True,False,68,43,Canada,4193,325712,False
9037,SolarVortex45,Breached,4.874102070840406,93973,Mayormente Positivo,985,False,True,81,20,UK,6221,412660,True
3544,CipherBlaze92,Mare,1.4528607116320762,49066,Muy Negativo,347,True,False,43,38,Germany,9639,228562,False
3276,StellarRocket11,"Neptunia Virtual Stars - In-game BGM Ileheart - ""Twilight Heart""",1.2828095524040632,6098,Muy Negativo,770,False,True,44,24,UK,1992,497502,True
9717,VortexNebula12,SimBus,3.7973347799226524,73890,Mayormente Negativo,957,True,True,12,27,Mexico,3406,168251,True
5973,QuantumTurbo79,Damned Hand - Arcade Mode DLC,1.4924826809039282,14905,Muy positivo,791,True,False,17,49,Canada,7401,68546,False
974,PixelComet37,Your World VR - Multiplayer,4.755121408382629,32925,Mayormente Positivo,992,True,False,6,26,USA,4970,469035,False
2480,BlitzCobra41,Space Nations - Battlearena,4.2619701640691225,80351,Mayormente Negativo,273,False,False,16,14,Germany,6550,304228,True
1368,CometBlitz39,Neptunia Virtual Stars - Item Booster Pack,2.0551403164056077,38312,Muy Negativo,832,True,False,10,16,USA,311,362589,False
9050,StellarShadow72,Infernal Apocalypse: Rise of the Underworld,3.1832842745496115,15573,Mixto,646,True,True,40,13,Germany,4844,423638,True
9890,AeroCosmo98,A.V.A Global,2.215496283556454,44347,Mixto,764,True,False,72,41,Canada,6558,147110,True
7467,DriftRocket61,Far Away From Home,2.1628581369241338,13317,Mayormente Negativo,162,True,False,79,32,Canada,3955,356143,False
2658,CometEcho1,DNF Duel - Season Pass,1.832154402223983,94870,Mayormente Positivo,398,True,False,57,20,UK,7072,231757,True
8182,LunarChroma53,Quest for Gold,2.637377479532928,89550,Mayormente Positivo,876,False,False,71,10,USA,8547,142949,True
3940,CometAero66,Flock,2.193877414877788,10833,Mayormente Negativo,31,False,True,62,44,Canada,2894,224419,True
3332,BlazeStellar49,RPG Town,2.8852650095558348,70489,Mayormente Positivo,363,True,False,94,25,UK,1743,13845,False
3339,CometFrost1,Gate One,2.208953622635178,4723,Mayormente Positivo,528,True,False,4,31,USA,403,65998,True
1851,RocketThunder16,Neptunia Virtual Stars - Asacre Peace Pack,2.9756885017620696,66397,Mayormente Negativo,87,False,False,15,33,USA,7437,139964,True
4230,ChromaBlitz13,Sapiens Craft,1.5977393582366979,41836,Muy positivo,886,True,False,71,28,USA,9521,388674,False
1947,CosmoPixel87,Phonk Cats,3.708128398655053,65160,Mixto,408,True,True,96,49,USA,622,213386,False
5942,NovaDrift90,Pure Fun VR,3.3018882114804344,1293,Muy positivo,724,True,False,85,39,Mexico,9647,236335,False
5968,NovaAero24,The Humbling of a Holy Maiden,4.217002535744918,89262,Mixto,743,False,True,88,33,USA,7110,157252,False
154,ChromaFrost3,Fantasy Grounds - Pathfinder RPG - Campaign Setting: Inner Sea Combat,3.211084128288386,70744,Mixto,209,True,False,13,18,Germany,9357,89524,False
6538,EchoPhantom59,Neptunia Virtual Stars - Swimsuit Outfit: Goddess Set,4.202646824148762,49476,Mayormente Positivo,629,False,False,14,37,UK,7051,73819,True
7134,NimbusStellar21,Stray Blade – Valley of Strays,2.3915631453622423,57625,Mayormente Negativo,965,True,True,10,24,Canada,163,473217,False
9442,SparkRocket33,Neptunia Virtual Stars - Kizuna AI - Vtuber Accessories,2.7977026065046697,19425,Mayormente Positivo,102,True,True,3,45,Canada,9638,131846,True
3260,BlazeLunar5,Tinkertown Playtest,4.253832656595048,97228,Muy Negativo,407,False,False,62,10,Mexico,6377,461973,True
1455,BlitzDrift85,Erannorth Reborn - Underworld,3.0046777979616186,69864,Mayormente Negativo,871,True,False,19,29,Canada,8317,389451,False
1463,LunarBlitz10,DIVE,1.4714760735308396,35924,Mixto,35,False,False,61,39,USA,3942,87865,True
4095,ChromaNebula83,Monster Energy Supercross 4 - Customization Pack Neon,1.4695164763830055,50694,Muy Negativo,141,False,True,61,45,Mexico,9249,339026,True
819,NebulaInferno23,Brothers in Hell,1.2533278609945762,47749,Mixto,753,False,False,3,27,USA,6341,433809,True
8306,TurboInferno94,Mori,3.4825045614906385,34094,Mayormente Positivo,677,True,False,98,34,UK,3683,488174,True
6867,CobraShadow69,A.V.A Global,1.390881383765318,84383,Muy Negativo,752,False,False,90,49,UK,1177,472792,True
6164,PhantomBlitz35,Das Balkonzimmer,1.222646502642144,59107,Mayormente Positivo,906,True,True,80,12,Germany,2601,18121,True
3978,FluffyBlaze84,Hot Girls Delivery Club,2.2496577253526344,8453,Mayormente Positivo,198,True,True,25,22,UK,690,348229,True
9619,CobraThunder70,THE CORRIDOR Playtest,4.114860566104717,54171,Muy Negativo,611,True,False,37,37,USA,6228,42640,True
9048,RocketAero26,Grim Tales: Graywitch Collector's Edition,3.4713200338816668,98205,Mayormente Negativo,999,False,True,21,17,Germany,4905,48378,True
6255,FluffyRocket33,Cube Clash: Rumble and Smash,3.8877032392131605,43357,Mayormente Negativo,677,False,False,82,37,Germany,4653,240337,True
8066,VortexCosmo23,VerdantOfWorld:LostWay,3.4527273980246935,34912,Mixto,331,False,True,14,12,Canada,9257,51954,True
8175,StellarVortex22,Nociception 1 ~ Voltaic Marketplace Demo,3.008543924832617,81908,Mixto,199,False,False,50,45,UK,8580,40334,True
4201,VortexAero96,Quest for Gold,1.3469473654026256,58989,Muy positivo,927,True,True,95,46,Canada,3660,484765,False
985,BlitzThunder52,Feeble Light,1.779432912639864,64172,Muy positivo,106,True,True,75,48,Canada,9130,11691,True
389,StellarInferno33,Girls on puzzle 2,2.0924423838075574,31395,Mayormente Positivo,968,True,False,22,31,Mexico,4211,71382,True
472,ShadowPulse64,Neptunia Virtual Stars - Game Club Project Pack,1.3889389894792084,42724,Mayormente Positivo,388,False,False,50,45,Canada,4008,65010,False
9175,CometSolar12,The Caretaker Playtest,4.770637162234614,39284,Mayormente Negativo,766,False,False,27,38,USA,2592,44488,False
7149,CobraFrost56,Cyber NINJA that Climbs the City,1.4051215708800076,36143,Muy positivo,145,False,True,5,35,Germany,4011,469452,True
8823,NimbusShadow82,Blooming Business: Casino - Official Soundtrack,4.2957827602015595,1586,Mayormente Positivo,240,True,True,17,26,UK,3580,395065,False
6008,PixelThunder17,Lord Of Terror,3.349598058129961,6104,Mixto,94,False,True,37,35,Mexico,3557,177858,False
9645,InfernoFrost44,SOLIVAGANT,3.5519687057756766,48716,Muy positivo,127,False,False,90,10,UK,7708,29491,False
6837,CipherVortex30,The Blunderbuss,3.7996213217806614,27119,Mayormente Positivo,664,True,True,47,47,USA,7816,449003,True
9148,QuantumComet1,Cubytet,1.6042937627170013,54937,Muy positivo,911,False,True,32,23,Mexico,7081,203437,False
9058,EchoFluffy64,Rune Factory 5 - The Young Proprietress and the Dwarf Swimsuit Set + New Ranger Care Package Item Pack,2.4381821621799014,31309,Mixto,251,False,False,33,48,Germany,3900,210238,False
2084,NebulaNimbus31,翔太の毕业季,4.413478273620292,78260,Muy positivo,572,False,True,7,10,Canada,310,276376,True
4294,PulseRaven81,Ninjas Against the Machines,1.0729696666297026,35400,Muy Negativo,404,True,True,9,24,Germany,994,15736,False
4821,VortexBlitz78,Just Find It 2,2.94739774948815,46998,Mayormente Negativo,847,True,True,94,37,Mexico,8045,222685,True
397,NebulaVortex79,Life of Ocean,1.3767558949102505,2620,Mayormente Negativo,668,False,True,63,14,USA,9629,345918,False
600,SolarCipher88,Butterfly//Circuit,1.2867057352889697,81694,Mixto,577,True,True,54,34,Germany,5967,480184,False
2718,CobraChroma81,Gondola's Adventure,3.2885114897783736,94415,Mayormente Negativo,7,True,True,25,19,Canada,1297,173331,True
4693,PhantomVortex17,A.V.A Global,2.204366300572932,6182,Mayormente Positivo,659,False,True,17,38,USA,7370,438587,False
9236,LunarCipher73,Neptunia Virtual Stars - Aogiri High School Pack,2.161088590095036,59979,Muy positivo,402,True,True,86,35,Mexico,3461,244914,False
729,VortexInferno25,Butterfly//Circuit,4.697324001304207,3546,Muy Negativo,653,False,False,48,41,Mexico,7995,171258,False
3216,SparkChroma38,OPUS: Echo of Starsong Official Game Script -Vol.2-,1.106530582405611,40617,Muy Negativo,605,False,True,43,46,Germany,2976,127703,False
8909,BlitzPhantom22,TRACK : TRUE HAPPY,4.157581242536786,42696,Mixto,609,True,False,26,49,Germany,6527,146057,True
5659,PixelThunder5,Hentai Student,2.0411405273409806,64789,Mixto,276,False,True,45,16,Mexico,9848,453461,True
5263,StellarLunar37,Phonk Cats,4.18213851919413,88550,Muy positivo,315,True,True,57,16,Mexico,4985,103536,False
